xy_axis1_nm,xy_axis2_nm,|E/E0|^2
-2.132812500000000000e+01,-1.312500000000000000e+02,3.242310361337619184e-01
-1.968750000000000000e+01,-1.312500000000000000e+02,3.152258291063025908e-01
-1.804687500000000000e+01,-1.312500000000000000e+02,3.067818300198684178e-01
-1.640625000000000000e+01,-1.312500000000000000e+02,2.989361384366865382e-01
-1.476562500000000000e+01,-1.312500000000000000e+02,2.917237576275294453e-01
-1.312500000000000000e+01,-1.312500000000000000e+02,2.851773145383058039e-01
-1.148437500000000000e+01,-1.312500000000000000e+02,2.793267936722174105e-01
-9.843750000000000000e+00,-1.312500000000000000e+02,2.741992882930804343e-01
-8.203125000000000000e+00,-1.312500000000000000e+02,2.698187722071190286e-01
-6.562500000000000000e+00,-1.312500000000000000e+02,2.662058951706446908e-01
-4.921875000000000000e+00,-1.312500000000000000e+02,2.633778047021073654e-01
-3.281250000000000000e+00,-1.312500000000000000e+02,2.613479967530654702e-01
-1.640625000000000000e+00,-1.312500000000000000e+02,2.601261973192304788e-01
0.000000000000000000e+00,-1.312500000000000000e+02,2.597182766568317813e-01
1.640625000000000000e+00,-1.312500000000000000e+02,2.601261973192303678e-01
3.281250000000000000e+00,-1.312500000000000000e+02,2.613479967530654702e-01
4.921875000000000000e+00,-1.312500000000000000e+02,2.633778047021073654e-01
6.562500000000000000e+00,-1.312500000000000000e+02,2.662058951706447463e-01
8.203125000000000000e+00,-1.312500000000000000e+02,2.698187722071188621e-01
9.843750000000000000e+00,-1.312500000000000000e+02,2.741992882930803788e-01
1.148437500000000000e+01,-1.312500000000000000e+02,2.793267936722173550e-01
1.312500000000000000e+01,-1.312500000000000000e+02,2.851773145383056929e-01
1.476562500000000000e+01,-1.312500000000000000e+02,2.917237576275293898e-01
1.640625000000000000e+01,-1.312500000000000000e+02,2.989361384366865937e-01
1.804687500000000000e+01,-1.312500000000000000e+02,3.067818300198685288e-01
1.968750000000000000e+01,-1.312500000000000000e+02,3.152258291063024798e-01
2.132812500000000000e+01,-1.312500000000000000e+02,3.242310361337618629e-01
2.296875000000000000e+01,-1.312500000000000000e+02,3.337585457061214012e-01
2.460937500000000000e+01,-1.312500000000000000e+02,3.437679439597352560e-01
2.625000000000000000e+01,-1.312500000000000000e+02,3.542176093592261932e-01
2.789062500000000000e+01,-1.312500000000000000e+02,3.650650135356361403e-01
2.953125000000000000e+01,-1.312500000000000000e+02,3.762670189241579255e-01
3.117187500000000000e+01,-1.312500000000000000e+02,3.877801701492739617e-01
3.281250000000000000e+01,-1.312500000000000000e+02,3.995609763358512478e-01
3.445312500000000000e+01,-1.312500000000000000e+02,4.115661817886679952e-01
3.609375000000000000e+01,-1.312500000000000000e+02,4.237530227728651955e-01
3.773437500000000000e+01,-1.312500000000000000e+02,4.360794684366542384e-01
3.937500000000000000e+01,-1.312500000000000000e+02,4.485044442380345386e-01
4.101562500000000000e+01,-1.312500000000000000e+02,4.609880365624520748e-01
4.265625000000000000e+01,-1.312500000000000000e+02,4.734916775417269408e-01
4.429687500000000000e+01,-1.312500000000000000e+02,4.859783094002937398e-01
